Combo Starter;combo;Total Damage;Note;Video
0% Combos;
D-throw;FH-Sweet F-air;;;;;;29.6;(Pretty hard, precise and therefore inconsistent, you need to slightly walk forward before doing the F-air if they DI away.);lwCOgV-_NOI;
Falling Sweetspot B-air or U-air ;Turnaround D-smash;;;;;;34.4;B-air works at higher % than Up-air and has more hitstun making combos easier. Combo's with U-air usually deal 1.5 damage less;fplyMGlPMlQ;
Falling Sweetspot B-air or U-air ;N-air;Fastfall between the 3rd and 4th hit.;N-air (4th hit);F-air;;;39.3;;L-ZaTQrkEqo;
Falling Sweetspot B-air or U-air ;N-air;Fastfall between the 3rd and 4th hit.;N-air (4th hit);B-air;;;36.7;Works really well if they DI-away. Kill set-up for a spike;t5PGoUS2wCg;
Falling Sweetspot B-air or U-air ;FH rising D-air;Turnaround D-tilt;F-tilt;;;;51.4;Depending on % you have to do a FH or SH D-air;QLPFK90YpJ8;
Falling Sweetspot B-air or U-air ;FH up-air;Up-air;Up-air;;;;50.6;Doesn't work on fastfallers, SH up-air is easier does 2.1 damage less;DBO5cpmRov8;
Falling Sweetspot B-air or U-air ;FH up-air;Up-air;F-air;;;;52.3;Should be used if they DI up-air away.;kdoIjPhReck;
50% Combos;
Sour F-tilt (New);Jabs;;;;;;18.9;;xjvMHGuVWaI;
Falling up-air/Falling Sweetspot B-air;FH D-air;D-tilt;F-tilt;;;;51.4;;DANu5MDrewU;
Falling up-air/Falling Sweetspot B-air;FH Up-air;Up-air;;;;;34.6;;rxavaQ_biEw;
Falling up-air/Falling Sweetspot B-air;FH D-air;Must auto cancel;F-smash;;;;48.9;;FwgNdjGEob0;
Falling Sour F-air;Sour DJC Z-air;Sour DJC Z-air;Etc.;F-air;;;A lot;;i9WXXMrJlhA;
Falling Sour F-air;DJC Z-air;F-air;;;;;27.5;;dvo-xB1B5S4;
Falling Sour F-air;Sweetspot DA;;;;;;26.0;;7I-aWMqzACI;
Falling Sour F-air;Runup D-tilt;F-tilt;;;;;29.7;;egrX-7JqAi8;
Falling Sour F-air;Attack cancel sweetspot B-air;SH D-air ;D-tilt F-tilt;;;;62.1;Works better at around 35-45%;d3y4Ot8Zakc;
75% Combos;
Falling Up-air;DJ any aerial;;;;;;??;;8cE1pgX3WVE;
D-air;D-air;D-air;Etc.;F-smash/F-air;;;Kill combo;For a more detailed explanation click here;EUfw1Vgsy_w;
Falling sweetspot B-air;FH any aerial;;;;;;??;;AeAdDqw4vsU;
Falling sweetspot B-air;FH Magnet;;;;;;22.9;I don't care that it's not optimal it's cool and guaranteed.;UjI__F0mTlU;
100% Combos;
D-tilt;F-tilt;;;;;;20.1;;T5xSNHAIlVo;
Sour Z-air;F-air;;;;;;17.1;;IpbN0p3gGTY;
Sour Z-air;Dash attack;;;;;;20.1;;dv5nC45mIx0;
Sour Z-air;F-smash;;;;;;22.6;Only works when the Z-air hits high enough.;GDWEZg9nniI;
D-air;F-air (or up-air);;;;;;29.9;Character dependent, you need to buffer SH F-air and instantly drift back to get the sweet spot;O976P7NLdDI;
D-air;F-smash;;;;;;;Character dependent easier on fastfallers;fPz-NfWRjpM;
Falling sweetspot B-air;DJ F-air;;;;;;28.6;Kill confirm, you can do any other aerial, but it's kinda pointless;h0ki4YaAGYw;
Falling sweetspot B-air;DJ Magnet;;;;;;22.9;Will remove any will the opponent has to continue playing. Kill confirm;rf-LaVXHlGo;
150% Combos;
D-tilt;Up-angled F-tilt;;;;;;20.1;Must be angled upwards!;YH5VBktQUhg;
Dragdown N-air;D-tilt (Follow DI);Up-air;;;;;23.1;Works better at 155% or higher, kill confirm;o_6yxBeqABc;
D-air;FH Up-air;;;;;;30.4;Kills Mario at 140% on all stages;Missing Video;
